RSI,MACD
"{'RSI': {'HIGH': 0.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 0.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 0.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 70.0, 'LOW': 30.0}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
