RSI,MACD
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 0.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 0.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 0.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 0.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 9.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 9.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 9.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 9.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 3.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 3.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 3.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 3.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 6.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 6.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 6.0}}"
{'RSI': 0.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 6.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 0.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 0.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 0.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 0.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 9.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 9.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 9.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 9.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 3.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 3.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 3.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 3.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 0.0, 'signalperiod': 6.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 0.0, 'slowperiod': 25.0, 'signalperiod': 6.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 0.0, 'signalperiod': 6.0}}"
{'RSI': 12.0},"{'MACD': {'fastperiod': 12.0, 'slowperiod': 25.0, 'signalperiod': 6.0}}"
